ViPhOG	Best_taxon	Rank	Min_score	Next_max_score
ViPhOG7861	Mimivirus	Genus	528.7	433.3
ViPhOG5513	Steinhofvirus	Genus	363.2	172.6
ViPhOG520	Hepatovirus	Genus	35.9	31.6
ViPhOG28542	Prymnesiovirus	Genus	283.3	156.3
ViPhOG8405	Elvirus	Genus	154.2	150.8
ViPhOG5998	Tidunavirus	Genus	358.5	347.2
ViPhOG9988	Bixzunavirus	Genus	1092.5	181.8
ViPhOG17530	Mimivirus	Genus	584.4	386.3
ViPhOG7837	Mimivirus	Genus	245.4	210.5
ViPhOG13314	Tidunavirus	Genus	521.9	483.6
ViPhOG25252	Chlorovirus	Genus	174.3	119.3
ViPhOG26171	Lessievirus	Genus	670.2	669.8
ViPhOG1527	Orthopoxvirus	Genus	642.1	623.4
ViPhOG7566	Mimivirus	Genus	145.3	141.1
ViPhOG27334	Tunavirus	Genus	372.9	310.4
ViPhOG15441	Mimivirus	Genus	529.0	165.8
ViPhOG22805	Ithacavirus	Genus	159.0	146.0
ViPhOG519	Hepatovirus	Genus	357.9	219.1
ViPhOG7263	Mimivirus	Genus	542.0	465.0
ViPhOG7528	Mimivirus	Genus	277.6	181.1
ViPhOG7238	Mimivirus	Genus	162.0	157.1
ViPhOG3057	Karamvirus	Genus	144.6	143.8
ViPhOG14938	Timquatrovirus	Genus	94.5	86.3
ViPhOG15040	Prasinovirus	Genus	302.1	181.8
ViPhOG189	Dyoetapapillomavirus	Genus	839.7	837.5
ViPhOG15268	Cheoctovirus	Genus	708.1	281.9
ViPhOG16754	Biquartavirus	Genus	229.9	224.9
ViPhOG17370	Mimivirus	Genus	321.5	282.1
ViPhOG31037	Gemytondvirus	Genus	192.1	125.6
ViPhOG15314	Mimivirus	Genus	448.6	259.6
ViPhOG2962	Alphanudivirus	Genus	264.6	259.2
ViPhOG4347	Cyprinivirus	Genus	345.5	149.9
ViPhOG27716	Sasvirus	Genus	72.8	72.1
ViPhOG1734	Cervidpoxvirus	Genus	310.0	220.3
ViPhOG2424	Iridovirus	Genus	156.0	147.9
ViPhOG10447	Firehammervirus	Genus	609.2	296.0
ViPhOG937	Caeruleovirus	Genus	811.5	695.4
ViPhOG10465	Firehammervirus	Genus	237.4	205.1
ViPhOG7751	Mimivirus	Genus	368.9	321.3
ViPhOG14386	Omegavirus	Genus	261.0	241.8
ViPhOG5194	Pegunavirus	Genus	124.3	120.2
ViPhOG21404	Krischvirus	Genus	160.9	131.7
ViPhOG8217	Mimivirus	Genus	176.5	121.7
ViPhOG941	Jedunavirus	Genus	278.5	278.3
ViPhOG1537	Orthopoxvirus	Genus	293.3	289.2
ViPhOG26046	Chloriridovirus	Genus	250.8	188.2
ViPhOG20470	Marseillevirus	Genus	159.8	79.4
ViPhOG12242	Prasinovirus	Genus	114.8	108.0
ViPhOG25542	Okubovirus	Genus	285.9	254.2
